Strain_ID	Portal_of_entry	Collection_ID	Bioproject	Biosample	Assembly	Phylogroup	ST_Warwick	Stc_Warwick	Subgroups*	O_serogroup	H-type
R1B6H13	Urinary	2005	PRJEB39260	SAMEA7047466	GCA_903977955.1	B2	95	STc95	A	O2	H7
R1B6H15	Pulmonary	2005	PRJEB39260	SAMEA7047467	GCA_903977945.1	B1	10919	ST10919		O_not_found	H8
R1B6H16	Urinary	2005	PRJEB39260	SAMEA7047468	GCA_903977975.1	D	69	STc69	D	O17	H18
R1B6H18	Digestive	2005	PRJEB39260	SAMEA7047469	GCA_903977965.1	A	617	STc10	C	O101	H9
R1B6H19	Urinary	2005	PRJEB39260	SAMEA7047470	GCA_903978015.1	B2	12	STc12		O4	H5
R1B6H7	Urinary	2005	PRJEB39260	SAMEA7047472	GCA_903978005.1	D	106	STc69	B	O17	H18
R1B6H8	Digestive	2005	PRJEB39260	SAMEA7047473	GCA_903977985.1	B2	73	STc73	B	O22	H1
R1B6I1	Urinary	2005	PRJEB39260	SAMEA7047477	GCA_903977995.1	C	88	STc88		O8	H19
R1B6I11	unknown	2005	PRJEB39260	SAMEA7047474	GCA_903978035.1	B1	58	STc58		O8	H25
R1B6I14	Urinary	2005	PRJEB39260	SAMEA7047475	GCA_903978025.1	D	69	STc69	C	O17	H18
R1B6I15	Digestive	2005	PRJEB39260	SAMEA7047476	GCA_903978055.1	B1	58	STc58		O8	H25
R1B6I2	Urinary	2005	PRJEB39260	SAMEA7047478	GCA_903978065.1	D	69	STc69	D	O11	H18
R1B6I3	Urinary	2005	PRJEB39260	SAMEA7047479	GCA_903978075.1	B2	95	STc95	D	O1	H7
R1B6I5	unknown	2005	PRJEB39260	SAMEA7047480	GCA_903978045.1	A	10	STc10	B	O29	H10
R1B6I6	Urinary	2005	PRJEB39260	SAMEA7047481	GCA_903978085.1	D	69	STc69	D	O17	H18
R1B6J10	Digestive	2005	PRJEB39260	SAMEA7047482	GCA_903978095.1	D	10911	STc38		O7	H15
R1B6J11	Digestive	2005	PRJEB39260	SAMEA7047483	GCA_903978115.1	D	68	ST68		O153	H6
R1B6J12	unknown	2005	PRJEB39260	SAMEA7047484	GCA_903978105.1	B2	131	STc131	A	O16	H5
R1B6J13	Digestive	2005	PRJEB39260	SAMEA7047485	GCA_903978155.1	B2	73	STc73	F	O6	H1
R1B6J15	Urinary	2005	PRJEB39260	SAMEA7047486	GCA_903978125.1	B2	12	STc12		O4	H1
R1B6J16	Urinary	2005	PRJEB39260	SAMEA7047487	GCA_903978135.1	B2	550	STc14		O75	H5
R1B6J4	Urinary	2005	PRJEB39260	SAMEA7047488	GCA_903978145.1	C	88	STc88		O9	H17
R1B6J8	Pulmonary	2005	PRJEB39260	SAMEA7047489	GCA_903978165.1	B2	12	STc12		O4	H1
R1B6J9	Digestive	2005	PRJEB39260	SAMEA7047490	GCA_903978175.1	B2	73	STc73	F	O6	H1
